Item,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
All,1961.9 ,2018.6 ,2069.3 ,2114.8 ,2151.6 ,2170.5 ,2172.9 ,2170.7 ,2154.2 ,2190.1 ,2189.0,2188.6,2184.3 
ftq,211.2 ,217.0 ,221.4 ,226.1 ,230.0 ,232.4 ,225.5 ,218.6 ,210.5 ,211.1 ,201.9,201.5,201.2 
fsq,94.5 ,96.7 ,98.6 ,101.0 ,103.6 ,104.6 ,109.6 ,115.4 ,118.8 ,124.8 ,131.3,131.3,131.1 
dxq,136.5 ,142.9 ,147.0 ,150.7 ,154.5 ,156.2 ,169.4 ,176.1 ,179.6 ,189.8 ,199.4,199.5,199.1 
cnq,442.2 ,456.6 ,467.0 ,477.8 ,488.1 ,493.2 ,504.5 ,510.1 ,508.9 ,525.7 ,532.6 ,532.3 ,531.4 
cnzb（%）,22.5 ,22.6 ,22.6 ,22.6 ,22.7 ,22.7 ,23.2 ,23.5 ,23.6 ,24.0 ,24.3 ,24.3 ,24.3 
cyq,354.5 ,365.8 ,374.5 ,384.1 ,392.2 ,395.5 ,385.6 ,373.9 ,360.5 ,357.5 ,345.1,344.9,344.2 
hdq,328.1 ,340.2 ,348.4 ,357.6 ,367.8 ,369.4 ,359.3 ,348.0 ,335.8 ,329.0 ,313.2,313.0,312.4 
syq,87.7 ,91.5 ,95.3 ,98.3 ,100.4 ,102.0 ,107.5 ,112.8 ,116.9 ,125.7 ,132.4,132.6,132.5 
cpq,166.1 ,173.8 ,183.0 ,188.9 ,190.8 ,196.3 ,201.0 ,206.3 ,210.8 ,219.5 ,226.9,227.0,226.7 
cbdq,936.4 ,971.3 ,1001.2 ,1028.9 ,1051.2 ,1063.2 ,1053.4 ,1041.0 ,1024.0 ,1031.7 ,1017.6 ,1017.5 ,1015.8 
cbzb（%）,47.7 ,48.1 ,48.4 ,48.7 ,48.9 ,49.0 ,48.5 ,48.0 ,47.5 ,47.1 ,46.5 ,46.5 ,46.5 
